protocol,trial,handshake_wall_ms,transaction_wall_ms,total_wall_ms,handshake_cpu_ms,transaction_cpu_ms,total_cpu_ms,handshake_peak_kib,transaction_peak_kib,total_peak_kib,handshake_bytes_sent,transaction_bytes_sent,total_bytes_sent,handshake_send_calls,transaction_send_calls,total_send_calls,read_values
ECC PKI,1,23.796092,1.031959,24.828051000000002,21.387701,1.134747,22.522448,329.15625,10.40234375,329.15625,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,2,16.937456,0.972163,17.909619,16.621278,0.938227,17.559505,33.3291015625,8.509765625,33.3291015625,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,3,15.867966,1.192988,17.060954,15.555942,1.212773,16.768715,31.2978515625,8.439453125,31.2978515625,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,4,16.758456,1.019605,17.778060999999997,16.761564,1.061554,17.823118,33.662109375,8.439453125,33.662109375,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,5,18.059716,1.012223,19.071939,17.595899,1.097092,18.692991,36.271484375,7.9951171875,36.271484375,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,6,17.288581,1.176874,18.465455000000002,17.223267,1.144187,18.367454,30.4580078125,8.4404296875,30.4580078125,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,7,18.276818,1.044681,19.321499,18.26152,1.12262,19.384140000000002,35.830078125,8.7294921875,35.830078125,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,8,17.279822,0.989078,18.2689,17.111783,0.983858,18.095641,34.1240234375,8.4404296875,34.1240234375,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,9,17.764376,1.504252,19.268628,17.524447,1.363162,18.887608999999998,31.3916015625,8.4404296875,31.3916015625,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,10,17.043132,1.020244,18.063375999999998,16.969783,1.021971,17.991754,35.078125,8.4404296875,35.078125,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,11,17.344954,1.10809,18.453044000000002,17.331447,1.0416,18.373047,34.4375,7.9951171875,34.4375,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,12,17.405996,1.227325,18.633321,17.439145,1.31481,18.753955,35.25390625,8.4404296875,35.25390625,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,13,17.133321,1.810222,18.943543,17.160269,1.082264,18.242532999999998,36.1484375,9.2060546875,36.1484375,2034,71,2105,16,2,18,"20,30,40"
